ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920640.BJ,20260204,47.06,48.66,46.06,46.7,47.78,-1.08,-2.2604,81500.7,384642.294
920640.BJ,20260203,46.3,47.89,45.86,47.78,45.69,2.09,4.5743,100137.61,472098.669
920640.BJ,20260202,46.76,47.58,45.51,45.69,47.0,-1.31,-2.7872,83893.06,388366.135
920640.BJ,20260130,43.0,47.0,42.6,47.0,43.78,3.22,7.355,123708.59,555743.431
920640.BJ,20260129,45.0,46.02,43.7,43.78,45.57,-1.79,-3.928,90510.0,405122.566
920640.BJ,20260128,45.46,47.39,45.0,45.57,44.54,1.03,2.3125,96761.04,445571.774
920640.BJ,20260127,43.85,45.06,43.6,44.54,44.5,0.04,0.0899,72486.79,322190.483
920640.BJ,20260126,48.75,48.75,44.15,44.5,48.8,-4.3,-8.8115,112345.89,512706.118
920640.BJ,20260123,46.7,49.99,45.7,48.8,45.58,3.22,7.0645,144248.92,692907.572
920640.BJ,20260122,43.53,45.63,43.44,45.58,43.53,2.05,4.7094,99253.63,446234.812
920640.BJ,20260121,43.31,44.63,43.02,43.53,43.98,-0.45,-1.0232,64285.34,280681.605
920640.BJ,20260120,46.1,46.96,43.15,43.98,46.08,-2.1,-4.5573,98585.94,438277.234
920640.BJ,20260119,45.0,46.95,44.46,46.08,45.47,0.61,1.3415,88449.67,408125.564
920640.BJ,20260116,46.0,46.96,45.11,45.47,44.9,0.57,1.2695,99834.38,459133.356
920640.BJ,20260115,48.0,48.87,44.31,44.9,50.27,-5.37,-10.6823,153050.76,697213.459
920640.BJ,20260114,48.39,52.88,48.08,50.27,48.18,2.09,4.3379,183544.93,923683.222
920640.BJ,20260113,53.0,54.0,47.7,48.18,56.0,-7.82,-13.9643,201779.46,1014808.027
920640.BJ,20260112,48.45,59.8,48.0,56.0,46.0,10.0,21.7391,258294.67,1365969.559
920640.BJ,20260109,45.0,53.76,45.0,46.0,42.02,3.98,9.4717,217911.71,1050739.015
920640.BJ,20260108,39.39,42.94,39.05,42.02,39.78,2.24,5.631,146770.99,605102.427
920640.BJ,20260107,38.25,41.5,37.83,39.78,38.91,0.87,2.2359,127134.82,502977.417
920640.BJ,20260106,37.64,39.13,36.86,38.91,37.62,1.29,3.429,116443.34,441256.374
920640.BJ,20260105,38.2,38.8,37.29,37.62,37.62,0.0,0.0,92204.56,349728.627
