ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300555.SZ,20260203,14.5,14.59,14.39,14.52,14.47,0.05,0.3455,19628.1,28419.148
300555.SZ,20260202,14.6,14.76,14.41,14.47,14.53,-0.06,-0.4129,18824.0,27365.249
300555.SZ,20260130,14.61,14.67,14.3,14.53,14.61,-0.08,-0.5476,23357.5,33725.884
300555.SZ,20260129,14.33,15.09,14.27,14.61,14.43,0.18,1.2474,52579.3,77149.235
300555.SZ,20260128,14.8,14.84,14.3,14.43,14.88,-0.45,-3.0242,48473.0,70097.982
300555.SZ,20260127,15.25,15.49,14.73,14.88,15.26,-0.38,-2.4902,38059.1,56941.232
300555.SZ,20260126,15.48,15.48,14.98,15.26,15.6,-0.34,-2.1795,26387.39,39991.015
300555.SZ,20260123,15.7,15.98,15.59,15.6,15.8,-0.2,-1.2658,20579.5,32314.031
300555.SZ,20260122,15.45,15.84,15.41,15.8,15.41,0.39,2.5308,20419.5,32095.426
300555.SZ,20260121,15.51,15.72,15.35,15.41,15.51,-0.1,-0.6447,21158.0,32794.716
300555.SZ,20260120,15.64,16.1,15.46,15.51,15.5,0.01,0.0645,38102.0,59872.599
300555.SZ,20260119,16.0,16.0,15.35,15.5,16.02,-0.52,-3.2459,41011.0,64097.423
300555.SZ,20260116,14.96,16.1,14.71,16.02,14.93,1.09,7.3007,60200.6,93654.045
300555.SZ,20260115,14.99,15.19,14.87,14.93,15.04,-0.11,-0.7314,16581.0,24814.869
300555.SZ,20260114,14.98,15.15,14.61,15.04,14.97,0.07,0.4676,40979.5,61292.284
300555.SZ,20260113,15.55,15.58,14.87,14.97,15.38,-0.41,-2.6658,29881.0,45497.706
300555.SZ,20260112,15.64,15.65,15.33,15.38,15.58,-0.2,-1.2837,34821.05,53795.044
300555.SZ,20260109,15.2,15.77,15.15,15.58,15.39,0.19,1.2346,29089.0,45001.303
300555.SZ,20260108,15.17,15.6,14.75,15.39,15.1,0.29,1.9205,47355.0,71556.821
300555.SZ,20260107,14.3,15.3,14.29,15.1,14.4,0.7,4.8611,50514.5,75348.635
300555.SZ,20260106,14.45,14.6,14.22,14.4,14.39,0.01,0.0695,29047.5,41760.707
300555.SZ,20260105,14.48,14.82,14.34,14.39,14.66,-0.27,-1.8417,38873.97,56413.699
