ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20260206,126.25,129.58,125.02,126.03,128.25,-2.22,-1.731,157231.98,2000628.31
300604.SZ,20260205,127.0,129.5,124.01,128.25,129.64,-1.39,-1.0722,192140.27,2432567.461
300604.SZ,20260204,127.51,132.22,127.23,129.64,129.15,0.49,0.3794,200704.43,2601551.755
300604.SZ,20260203,126.0,129.8,123.7,129.15,120.61,8.54,7.0807,314456.02,3999797.171
300604.SZ,20260202,124.53,125.49,120.0,120.61,127.53,-6.92,-5.4262,314795.13,3836420.266
300604.SZ,20260130,124.44,128.74,121.42,127.53,125.62,1.91,1.5205,329349.83,4139684.992
300604.SZ,20260129,132.3,135.92,125.45,125.62,132.69,-7.07,-5.3282,395523.11,5132580.084
300604.SZ,20260128,131.59,133.83,128.96,132.69,131.04,1.65,1.2592,257445.04,3379244.228
300604.SZ,20260127,129.46,133.22,127.6,131.04,130.17,0.87,0.6684,281458.84,3676352.791
300604.SZ,20260126,137.12,137.66,129.01,130.17,140.1,-9.93,-7.0878,322227.74,4228243.023
300604.SZ,20260123,132.9,140.9,129.8,140.1,134.76,5.34,3.9626,336287.24,4530789.01
300604.SZ,20260122,139.9,140.0,131.5,134.76,138.6,-3.84,-2.7706,339753.94,4553862.427
300604.SZ,20260121,136.7,144.88,135.0,138.6,136.5,2.1,1.5385,332973.28,4640068.913
300604.SZ,20260120,137.16,140.41,134.01,136.5,138.25,-1.75,-1.2658,256965.72,3509766.719
300604.SZ,20260119,139.0,141.99,134.65,138.25,138.5,-0.25,-0.1805,290171.39,4001522.738
300604.SZ,20260116,137.4,143.33,134.71,138.5,137.3,1.2,0.874,506860.18,7037189.209
300604.SZ,20260115,127.07,137.69,126.44,137.3,129.05,8.25,6.3929,402689.58,5292998.775
300604.SZ,20260114,123.83,133.5,121.71,129.05,122.81,6.24,5.081,413887.43,5324948.365
300604.SZ,20260113,127.38,128.89,122.0,122.81,128.66,-5.85,-4.5469,334903.39,4172951.882
300604.SZ,20260112,125.1,130.8,123.3,128.66,123.6,5.06,4.0939,461199.61,5857833.102
300604.SZ,20260109,120.99,125.5,118.1,123.6,123.65,-0.05,-0.0404,364859.49,4451707.633
300604.SZ,20260108,124.99,127.8,122.5,123.65,125.9,-2.25,-1.7871,351530.53,4383991.597
300604.SZ,20260107,115.0,129.85,112.8,125.9,111.33,14.57,13.0872,601228.09,7123268.315
300604.SZ,20260106,107.9,117.77,105.7,111.33,106.0,5.33,5.0283,439389.75,4906848.642
300604.SZ,20260105,102.02,106.96,102.0,106.0,101.31,4.69,4.6294,369264.91,3865610.1
