ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
600460.SH,20251231,28.41,1.4251,2.0843,1.14,215.0213,87.5398,3.959,4.2132,3.702,0.0,0.1408,166407.1845,166407.1845,113780.4915,4727628.1116,4727628.1116,0
600460.SH,20251230,28.19,1.1527,1.6859,0.93,213.3563,86.8619,3.9284,4.1806,3.6733,0.0,0.1419,166407.1845,166407.1845,113780.4915,4691018.5311,4691018.5311,0
600460.SH,20251229,27.98,1.2676,1.8539,1.03,211.7669,86.2148,3.8991,4.1495,3.646,0.0,0.143,166407.1845,166407.1845,113780.4915,4656073.0223,4656073.0223,0
600460.SH,20251226,28.2,1.2737,1.8628,1.12,213.432,86.8927,3.9298,4.1821,3.6746,0.0,0.1418,166407.1845,166407.1845,113780.4915,4692682.6029,4692682.6029,0
600460.SH,20251225,28.31,1.1503,1.6823,1.07,214.2645,87.2316,3.9451,4.1984,3.689,0.0,0.1413,166407.1845,166407.1845,113780.4915,4710987.3932,4710987.3932,0
600460.SH,20251224,28.26,1.4051,2.055,1.37,213.8861,87.0776,3.9381,4.191,3.6825,0.0,0.1415,166407.1845,166407.1845,113780.4915,4702667.034,4702667.034,0
600460.SH,20251223,28.01,1.0811,1.5812,1.06,211.9939,86.3073,3.9033,4.1539,3.6499,0.0,0.1428,166407.1845,166407.1845,113780.4915,4661065.2378,4661065.2378,0
600460.SH,20251222,28.09,1.2168,1.7795,,212.5994,86.5538,3.9144,4.1658,3.6603,0.0,0.1424,166407.1845,166407.1845,113780.4915,4674377.8126,4674377.8126,0
600460.SH,20251219,27.67,0.8499,1.243,0.8,209.4207,85.2596,3.8559,4.1035,3.6056,0.0,0.1446,166407.1845,166407.1845,113780.4915,4604486.7951,4604486.7951,0
600460.SH,20251218,27.43,0.8271,1.2096,0.72,207.6042,84.5201,3.8225,4.0679,3.5743,0.0,0.1458,166407.1845,166407.1845,113780.4915,4564549.0708,4564549.0708,0
600460.SH,20251217,27.67,1.139,1.6659,0.98,209.4207,85.2596,3.8559,4.1035,3.6056,0.0,0.1446,166407.1845,166407.1845,113780.4915,4604486.7951,4604486.7951,0
600460.SH,20251216,27.1,1.0661,1.5592,0.81,205.1066,83.5033,3.7765,4.019,3.5313,0.0,0.1476,166407.1845,166407.1845,113780.4915,4509634.7,4509634.7,0
600460.SH,20251215,27.46,1.1099,1.6232,0.79,207.8313,84.6125,3.8266,4.0724,3.5782,0.0,0.1457,166407.1845,166407.1845,113780.4915,4569541.2864,4569541.2864,0
600460.SH,20251212,28.12,1.1829,1.73,0.85,212.8265,86.6462,3.9186,4.1702,3.6642,0.0,0.1422,166407.1845,166407.1845,113780.4915,4679370.0281,4679370.0281,0
600460.SH,20251211,27.88,1.2262,1.7933,0.91,211.01,85.9067,3.8852,4.1346,3.6329,0.0,0.1435,166407.1845,166407.1845,113780.4915,4639432.3039,4639432.3039,0
600460.SH,20251210,28.55,1.2105,1.7703,0.92,216.0809,87.9712,3.9785,4.234,3.7202,0.0,0.1401,166407.1845,166407.1845,113780.4915,4750925.1175,4750925.1175,0
600460.SH,20251209,28.65,1.8727,2.7389,1.54,216.8378,88.2793,3.9925,4.2488,3.7333,0.0,0.1396,166407.1845,166407.1845,113780.4915,4767565.8359,4767565.8359,0
