ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
301687.SZ,20260202,57.12,6.7205,6.7205,0.51,72.5042,64.5324,5.65,12.7651,12.0962,,,14686.4,2953.5325,2953.5325,838887.168,168705.7764,0
301687.SZ,20260130,58.28,8.0356,8.0356,0.55,73.9766,65.8429,5.7647,13.0243,12.3418,,,14686.4,2953.5325,2953.5325,855923.392,172131.8741,0
301687.SZ,20260129,58.19,13.1329,13.1329,,73.8623,65.7412,5.7558,13.0042,12.3228,,,14686.4,2953.5325,2953.5325,854601.616,171866.0562,0
301687.SZ,20260128,60.68,13.5866,13.5866,0.89,77.023,68.5544,6.0021,13.5607,12.8501,,,14686.4,2953.5325,2953.5325,891170.752,179220.3521,0
301687.SZ,20260127,62.42,12.5575,12.5575,,79.2316,70.5202,6.1742,13.9495,13.2185,,,14686.4,2953.5325,2953.5325,916725.088,184359.4987,0
301687.SZ,20260126,63.94,17.9785,17.9785,,81.161,72.2374,6.3246,14.2892,13.5404,,,14686.4,2953.5325,2953.5325,939048.416,188848.8681,0
301687.SZ,20260123,63.41,15.5384,15.5384,1.05,80.4883,71.6386,6.2721,14.1708,13.4282,,,14686.4,2953.5325,2953.5325,931264.624,187283.4958,0
301687.SZ,20260122,62.57,12.7965,12.7965,0.81,79.422,70.6896,6.189,13.9831,13.2503,,,14686.4,2953.5325,2953.5325,918928.048,184802.5285,0
301687.SZ,20260121,63.44,17.6254,17.6254,1.09,80.5263,71.6725,6.2751,14.1775,13.4345,,,14686.4,2953.5325,2953.5325,931705.216,187372.1018,0
301687.SZ,20260120,61.88,13.5062,13.5062,0.71,78.5462,69.9101,6.1208,13.8289,13.1042,,,14686.4,2953.5325,2953.5325,908794.432,182764.5911,0
301687.SZ,20260119,63.38,15.384,15.384,0.68,80.4502,71.6047,6.2692,14.1641,13.4218,,,14686.4,2953.5325,2953.5325,930824.032,187194.8899,0
301687.SZ,20260116,62.03,14.5484,14.5484,0.53,78.7366,70.0795,6.1356,13.8624,13.136,,,14686.4,2953.5325,2953.5325,910997.392,183207.621,0
301687.SZ,20260115,63.07,17.6133,17.6133,0.52,80.0567,71.2545,6.2385,14.0948,13.3562,,,14686.4,2953.5325,2953.5325,926271.248,186279.2948,0
301687.SZ,20260114,62.25,20.0761,20.0761,0.46,79.0158,70.3281,6.1574,13.9116,13.1825,,,14686.4,2953.5325,2953.5325,914228.4,183857.3981,0
301687.SZ,20260113,61.81,27.645,27.645,0.56,78.4573,69.831,6.1139,13.8132,13.0894,,,14686.4,2953.5325,2953.5325,907766.384,182557.8438,0
301687.SZ,20260112,64.71,33.5529,33.5529,0.62,82.1384,73.1073,6.4007,14.4613,13.7035,,,14686.4,2953.5325,2953.5325,950356.944,191123.0881,0
301687.SZ,20260109,65.3,38.101,38.101,0.61,82.8873,73.7739,6.4591,14.5932,13.8284,,,14686.4,2953.5325,2953.5325,959021.92,192865.6723,0
301687.SZ,20260108,68.06,51.2371,51.2371,,86.3906,76.892,6.7321,15.21,14.4129,,,14686.4,2953.5325,2953.5325,999556.384,201017.422,0
301687.SZ,20260107,74.58,65.3794,65.3794,,94.6667,84.2581,7.377,16.667,15.7936,,,14686.4,2953.5325,2953.5325,1095311.712,220274.4539,0
301687.SZ,20260106,74.5,57.2289,57.2289,,94.5651,84.1678,7.3691,16.6492,15.7767,,,14686.4,2953.5325,2953.5325,1094136.8,220038.1713,0
301687.SZ,20260105,69.18,58.5715,58.5715,,87.8123,78.1574,6.8429,15.4603,14.6501,,,14686.4,2953.5325,2953.5325,1016005.152,204325.3784,0
