ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,20251231,152.74,156.68,151.65,152.06,151.81,0.25,0.1647,44656.74,689308.823
688169.SH,20251230,151.48,152.66,150.28,151.81,151.9,-0.09,-0.0592,38967.99,589598.092
688169.SH,20251229,154.05,157.32,151.5,151.9,154.0,-2.1,-1.3636,49680.17,766353.076
688169.SH,20251226,154.0,154.67,153.06,154.0,153.88,0.12,0.078,23534.39,362132.426
688169.SH,20251225,152.5,154.8,152.3,153.88,152.8,1.08,0.7068,27225.02,418937.228
688169.SH,20251224,152.3,153.0,151.12,152.8,152.59,0.21,0.1376,23833.2,362113.139
688169.SH,20251223,154.06,154.99,152.0,152.59,154.75,-2.16,-1.3958,25720.08,393166.617
688169.SH,20251222,157.98,157.98,154.0,154.75,157.22,-2.47,-1.571,32411.53,502563.729
688169.SH,20251219,155.25,158.5,154.18,157.22,155.25,1.97,1.2689,24369.54,383291.971
688169.SH,20251218,154.69,156.66,154.18,155.25,155.64,-0.39,-0.2506,20733.99,322755.401
688169.SH,20251217,153.0,156.07,150.68,155.64,152.25,3.39,2.2266,31073.1,478342.297
688169.SH,20251216,152.05,154.82,151.53,152.25,152.68,-0.43,-0.2816,23553.61,360732.308
688169.SH,20251215,156.05,157.48,152.44,152.68,157.61,-4.93,-3.128,39510.04,607714.033
688169.SH,20251212,153.63,158.28,153.02,157.61,153.63,3.98,2.5906,51261.98,803347.624
688169.SH,20251211,157.65,157.65,153.5,153.63,157.58,-3.95,-2.5067,31724.38,492354.994
688169.SH,20251210,154.1,158.38,152.59,157.58,154.8,2.78,1.7959,30698.84,479120.698
688169.SH,20251209,156.91,158.2,154.42,154.8,157.05,-2.25,-1.4327,24343.14,379204.844
688169.SH,20251208,162.01,162.99,156.49,157.05,162.23,-5.18,-3.193,41274.59,651079.391
688169.SH,20251205,159.0,163.18,158.03,162.23,159.7,2.53,1.5842,25703.61,413445.202
688169.SH,20251204,161.98,163.5,158.5,159.7,160.46,-0.76,-0.4736,29463.77,472767.183
688169.SH,20251203,154.0,162.95,153.19,160.46,154.07,6.39,4.1475,50958.59,814448.894
688169.SH,20251202,152.29,155.49,151.29,154.07,152.79,1.28,0.8378,26472.66,408320.747
688169.SH,20251201,149.31,153.22,149.31,152.79,152.18,0.61,0.4008,30316.63,460252.767
688169.SH,20251128,153.44,154.2,151.36,152.18,153.3,-1.12,-0.7306,35940.1,546662.619
688169.SH,20251127,155.0,155.66,152.51,153.3,154.25,-0.95,-0.6159,29501.8,454211.698
688169.SH,20251126,156.22,156.88,153.6,154.25,156.22,-1.97,-1.261,26922.42,415938.024
688169.SH,20251125,156.6,157.99,154.32,156.22,155.61,0.61,0.392,20512.75,321564.581
688169.SH,20251124,160.22,160.76,154.06,155.61,159.2,-3.59,-2.255,26973.5,420915.774
688169.SH,20251121,160.44,162.0,158.22,159.2,160.73,-1.53,-0.9519,26895.36,431008.79
688169.SH,20251120,158.89,162.2,158.56,160.73,158.93,1.8,1.1326,20723.54,333041.768
688169.SH,20251119,158.18,159.6,157.02,158.93,158.44,0.49,0.3093,21006.73,331997.452
688169.SH,20251118,158.0,159.51,156.89,158.44,159.51,-1.07,-0.6708,24933.59,393736.914
688169.SH,20251117,162.1,163.1,156.49,159.51,163.42,-3.91,-2.3926,32358.58,513564.738
688169.SH,20251114,161.83,164.86,161.17,163.42,161.81,1.61,0.995,25834.61,422935.429
