ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688795.SH,20260203,571.55,575.0,536.2,554.92,570.0,-15.08,-2.6456,27254.57,1503048.241
688795.SH,20260202,581.02,588.0,568.55,570.0,590.01,-20.01,-3.3915,19483.93,1118438.821
688795.SH,20260130,588.01,595.42,581.11,590.01,590.08,-0.07,-0.0119,14652.87,862390.282
688795.SH,20260129,602.95,602.98,590.0,590.08,602.88,-12.8,-2.1231,18497.33,1099233.689
688795.SH,20260128,605.42,616.8,600.4,602.88,605.42,-2.54,-0.4195,15709.09,954424.607
688795.SH,20260127,598.1,609.65,595.0,605.42,603.01,2.41,0.3997,16968.07,1022346.443
688795.SH,20260126,617.0,617.0,597.7,603.01,618.53,-15.52,-2.5092,20958.86,1266949.704
688795.SH,20260123,623.9,625.6,616.08,618.53,628.6,-10.07,-1.602,18895.22,1169636.354
688795.SH,20260122,635.0,655.77,623.13,628.6,627.3,1.3,0.2072,25334.11,1608740.554
688795.SH,20260121,611.2,640.0,609.5,627.3,615.21,12.09,1.9652,26612.82,1674056.767
688795.SH,20260120,633.26,633.26,610.08,615.21,633.3,-18.09,-2.8565,23799.99,1475508.242
688795.SH,20260119,645.0,649.83,632.5,633.3,646.76,-13.46,-2.0811,23418.02,1492852.96
688795.SH,20260116,636.9,649.9,634.62,646.76,635.74,11.02,1.7334,27231.69,1751227.633
688795.SH,20260115,640.05,647.0,622.0,635.74,648.0,-12.26,-1.892,28106.32,1778117.551
688795.SH,20260114,644.99,656.88,633.8,648.0,650.15,-2.15,-0.3307,35268.58,2275469.352
688795.SH,20260113,655.0,688.0,645.2,650.15,648.59,1.56,0.2405,42103.85,2797671.662
688795.SH,20260112,658.0,663.0,641.77,648.59,664.25,-15.66,-2.3575,37963.83,2456994.532
688795.SH,20260109,660.0,668.68,646.0,664.25,674.02,-9.77,-1.4495,45839.33,3012443.586
688795.SH,20260108,614.55,679.0,614.55,674.02,617.54,56.48,9.146,71567.38,4686406.442
688795.SH,20260107,609.02,628.6,608.08,617.54,614.0,3.54,0.5765,33949.12,2103572.618
688795.SH,20260106,620.0,636.5,611.3,614.0,619.65,-5.65,-0.9118,44181.22,2739336.548
688795.SH,20260105,584.5,619.79,583.51,619.65,587.9,31.75,5.4006,51019.65,3085934.202
