ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300731.SZ,20260204,66.31,67.58,63.42,65.0,66.2,-1.2,-1.8127,121434.15,791151.577
300731.SZ,20260203,65.71,67.76,63.39,66.2,65.71,0.49,0.7457,153453.46,1009655.028
300731.SZ,20260202,69.09,69.19,65.08,65.71,69.92,-4.21,-6.0212,146682.97,983901.296
300731.SZ,20260130,59.5,69.92,59.4,69.92,58.27,11.65,19.9931,230100.0,1513584.667
300731.SZ,20260129,62.57,62.97,57.88,58.27,62.95,-4.68,-7.4345,105397.2,629206.468
300731.SZ,20260128,63.27,63.6,60.1,62.95,62.84,0.11,0.175,107836.96,669698.562
300731.SZ,20260127,60.3,63.98,57.56,62.84,59.95,2.89,4.8207,136671.9,837892.089
300731.SZ,20260126,60.21,61.0,58.98,59.95,61.49,-1.54,-2.5045,81882.7,491428.834
300731.SZ,20260123,63.76,64.01,60.39,61.49,64.5,-3.01,-4.6667,125647.4,773634.729
300731.SZ,20260122,64.1,66.89,63.2,64.5,62.84,1.66,2.6416,144449.85,930878.986
300731.SZ,20260121,54.7,64.49,54.68,62.84,55.5,7.34,13.2252,189734.47,1151280.051
300731.SZ,20260120,58.8,59.5,54.76,55.5,57.73,-2.23,-3.8628,105158.53,591195.248
300731.SZ,20260119,53.8,59.49,53.38,57.73,54.37,3.36,6.1799,162191.95,930966.035
300731.SZ,20260116,52.9,55.18,52.5,54.37,52.3,2.07,3.9579,119106.4,645360.095
300731.SZ,20260115,51.05,52.8,50.82,52.3,51.65,0.65,1.2585,70442.0,366858.098
300731.SZ,20260114,50.65,52.49,50.25,51.65,50.68,0.97,1.914,96884.49,497606.312
300731.SZ,20260113,54.27,54.59,50.2,50.68,54.43,-3.75,-6.8896,133864.0,695672.361
300731.SZ,20260112,55.24,55.75,53.39,54.43,55.42,-0.99,-1.7864,88345.0,479029.836
300731.SZ,20260109,56.92,57.44,55.18,55.42,56.71,-1.29,-2.2747,90469.75,507375.559
300731.SZ,20260108,58.7,58.71,56.3,56.71,58.71,-2.0,-3.4066,99734.0,568187.769
300731.SZ,20260107,53.9,60.18,53.51,58.71,55.3,3.41,6.1664,171709.39,997741.346
300731.SZ,20260106,57.5,57.79,54.8,55.3,57.87,-2.57,-4.441,115505.0,645088.807
300731.SZ,20260105,56.7,58.23,55.2,57.87,56.22,1.65,2.9349,110217.0,627086.973
