ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
002494.SZ,20251231,5.39,2.646,2.9572,0.95,91.5284,135.2136,1.6586,4.052,5.1056,0.0,,37731.0718,28677.0438,25659.0344,203370.477,154569.2661,0
002494.SZ,20251230,5.41,2.7349,3.0566,0.91,91.868,135.7153,1.6647,4.067,5.1246,0.0,,37731.0718,28677.0438,25659.0344,204125.0984,155142.807,0
002494.SZ,20251229,5.42,3.2717,3.6565,1.02,92.0378,135.9662,1.6678,4.0746,5.1341,0.0,,37731.0718,28677.0438,25659.0344,204502.4092,155429.5774,0
002494.SZ,20251226,5.36,2.617,2.9248,0.79,91.019,134.461,1.6493,4.0294,5.0772,0.0,,37731.0718,28677.0438,25659.0344,202238.5448,153708.9548,0
002494.SZ,20251225,5.41,2.6084,2.9152,0.76,91.868,135.7153,1.6647,4.067,5.1246,0.0,,37731.0718,28677.0438,25659.0344,204125.0984,155142.807,0
002494.SZ,20251224,5.32,2.6682,2.982,0.74,90.3397,133.4576,1.637,3.9994,5.0393,0.0,,37731.0718,28677.0438,25659.0344,200729.302,152561.873,0
002494.SZ,20251223,5.29,3.8533,4.3065,1.07,89.8303,132.705,1.6278,3.9768,5.0109,0.0,,37731.0718,28677.0438,25659.0344,199597.3698,151701.5617,0
002494.SZ,20251222,5.31,4.2327,4.7305,,90.1699,133.2067,1.634,3.9919,5.0299,0.0,,37731.0718,28677.0438,25659.0344,200351.9913,152275.1026,0
002494.SZ,20251219,5.34,3.2307,3.6107,0.83,90.6794,133.9593,1.6432,4.0144,5.0583,0.0,,37731.0718,28677.0438,25659.0344,201483.9234,153135.4139,0
002494.SZ,20251218,5.14,3.2201,3.5988,0.77,87.2831,128.9421,1.5816,3.8641,4.8688,0.0,,37731.0718,28677.0438,25659.0344,193937.7091,147400.0051,0
002494.SZ,20251217,5.04,3.4596,3.8666,0.85,85.585,126.4335,1.5509,3.7889,4.7741,0.0,,37731.0718,28677.0438,25659.0344,190164.6019,144532.3008,0
002494.SZ,20251216,5.01,3.8152,4.264,0.98,85.0756,125.6809,1.5416,3.7663,4.7457,0.0,,37731.0718,28677.0438,25659.0344,189032.6697,143671.9894,0
002494.SZ,20251215,5.14,4.3764,4.8911,1.22,87.2831,128.9421,1.5816,3.8641,4.8688,0.0,,37731.0718,28677.0438,25659.0344,193937.7091,147400.0051,0
002494.SZ,20251212,5.01,4.5915,5.1316,1.42,85.0756,125.6809,1.5416,3.7663,4.7457,0.0,,37731.0718,28677.0438,25659.0344,189032.6697,143671.9894,0
002494.SZ,20251211,5.17,4.6584,5.2063,1.58,87.7926,129.6947,1.5909,3.8866,4.8972,0.0,,37731.0718,28677.0438,25659.0344,195069.6412,148260.3164,0
002494.SZ,20251210,5.42,2.9228,3.2666,0.94,92.0378,135.9662,1.6678,4.0746,5.1341,0.0,,37731.0718,28677.0438,25659.0344,204502.4092,155429.5774,0
