ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
601318.SH,20241231,52.65,0.6291,0.7318,1.43,11.1921,8.1756,1.0759,1.0492,0.9741,4.5714,4.5985,1821023.4607,1076265.7695,925247.9335,95876885.2059,56665392.7642,0.0
601318.SH,20241230,53.9,0.4956,0.5765,1.12,11.4578,8.3697,1.1015,1.0741,0.9973,4.4654,4.4919,1821023.4607,1076265.7695,925247.9335,98153164.5317,58010724.9761,0.0
601318.SH,20241227,53.27,0.4997,0.5812,1.16,11.3239,8.2719,1.0886,1.0616,0.9856,4.5182,4.545,1821023.4607,1076265.7695,925247.9335,97005919.7515,57332677.5413,0.0
601318.SH,20241226,53.45,0.3523,0.4099,0.81,11.3621,8.2998,1.0923,1.0652,0.9889,4.503,4.5297,1821023.4607,1076265.7695,925247.9335,97333703.9744,57526405.3798,0.0
601318.SH,20241225,53.9,0.3878,0.4511,0.86,11.4578,8.3697,1.1015,1.0741,0.9973,4.4654,4.4919,1821023.4607,1076265.7695,925247.9335,98153164.5317,58010724.9761,0.0
601318.SH,20241224,53.78,0.4605,0.5357,1.01,11.4323,8.3511,1.099,1.0717,0.995,4.4753,4.5019,1821023.4607,1076265.7695,925247.9335,97934641.7164,57881573.0837,0.0
601318.SH,20241223,53.1,0.5161,0.6004,1.08,11.2877,8.2455,1.0851,1.0582,0.9825,4.5326,4.5596,1821023.4607,1076265.7695,925247.9335,96696345.7632,57149712.3605,0.0
601318.SH,20241220,52.62,0.4292,0.4993,0.77,11.1857,8.1709,1.0753,1.0486,0.9736,4.574,4.6012,1821023.4607,1076265.7695,925247.9335,95822254.502,56633104.7911,0.0
601318.SH,20241219,52.89,0.3768,0.4383,0.65,11.2431,8.2129,1.0808,1.054,0.9786,4.5506,4.5777,1821023.4607,1076265.7695,925247.9335,96313930.8364,56923696.5489,0.0
601318.SH,20241218,52.94,0.4687,0.5452,0.81,11.2537,8.2206,1.0819,1.055,0.9795,4.5463,4.5734,1821023.4607,1076265.7695,925247.9335,96404982.0095,56977509.8373,0.0
601318.SH,20241217,53.01,0.4996,0.5811,0.75,11.2686,8.2315,1.0833,1.0564,0.9808,4.5403,4.5673,1821023.4607,1076265.7695,925247.9335,96532453.6517,57052848.4412,0.0
601318.SH,20241216,53.12,0.6119,0.7118,0.96,11.292,8.2486,1.0855,1.0586,0.9828,4.5309,4.5579,1821023.4607,1076265.7695,925247.9335,96732766.2324,57171237.6758,0.0
601318.SH,20241213,53.74,0.8242,0.9588,1.33,11.4238,8.3449,1.0982,1.0709,0.9943,4.4787,4.5053,1821023.4607,1076265.7695,925247.9335,97861800.778,57838522.4529,0.0
601318.SH,20241212,55.58,0.489,0.5689,0.85,11.8149,8.6306,1.1358,1.1076,1.0283,4.3304,4.3561,1821023.4607,1076265.7695,925247.9335,101212483.9457,59818851.4688,0.0
601318.SH,20241211,54.9,0.469,0.5456,0.85,11.6704,8.525,1.1219,1.0941,1.0158,4.384,4.4101,1821023.4607,1076265.7695,925247.9335,99974187.9924,59086990.7456,0.0
601318.SH,20241210,55.62,0.9301,1.0819,2.04,11.8234,8.6368,1.1366,1.1084,1.0291,4.3273,4.353,1821023.4607,1076265.7695,925247.9335,101285324.8841,59861902.0996,0.0
601318.SH,20241209,54.83,0.4743,0.5517,1.07,11.6555,8.5141,1.1205,1.0927,1.0145,4.3896,4.4157,1821023.4607,1076265.7695,925247.9335,99846716.3502,59011652.1417,0.0
601318.SH,20241206,55.12,0.7339,0.8536,1.83,11.7171,8.5591,1.1264,1.0984,1.0198,4.3665,4.3925,1821023.4607,1076265.7695,925247.9335,100374813.1538,59323769.2148,0.0
601318.SH,20241205,53.68,0.2749,0.3198,0.65,11.411,8.3355,1.097,1.0697,0.9932,4.4837,4.5103,1821023.4607,1076265.7695,925247.9335,97752539.3704,57773946.5068,0.0
601318.SH,20241204,53.93,0.3548,0.4127,0.81,11.4642,8.3744,1.1021,1.0747,0.9978,4.4629,4.4894,1821023.4607,1076265.7695,925247.9335,98207795.2356,58043012.9491,0.0
601318.SH,20241203,54.43,0.4367,0.508,1.03,11.5705,8.452,1.1123,1.0847,1.0071,4.4219,4.4482,1821023.4607,1076265.7695,925247.9335,99118306.9659,58581145.8339,0.0
601318.SH,20241202,54.01,0.4177,0.4859,0.88,11.4812,8.3868,1.1037,1.0763,0.9993,4.4563,4.4828,1821023.4607,1076265.7695,925247.9335,98353477.1124,58129114.2107,0.0
601318.SH,20241129,53.25,0.5236,0.6091,0.94,11.3196,8.2688,1.0882,1.0612,0.9852,4.5199,4.5467,1821023.4607,1076265.7695,925247.9335,96969499.2823,57311152.2259,0.0
601318.SH,20241128,53.17,0.3954,0.4599,0.72,11.3026,8.2563,1.0866,1.0596,0.9837,4.5267,4.5536,1821023.4607,1076265.7695,925247.9335,96823817.4054,57225050.9643,0.0
601318.SH,20241127,53.55,0.413,0.4804,0.74,11.3834,8.3154,1.0943,1.0672,0.9908,4.4946,4.5213,1821023.4607,1076265.7695,925247.9335,97515806.3205,57634031.9567,0.0
601318.SH,20241126,53.05,0.3787,0.4406,0.65,11.2771,8.2377,1.0841,1.0572,0.9815,4.5369,4.5639,1821023.4607,1076265.7695,925247.9335,96605294.5901,57095899.072,0.0
601318.SH,20241125,52.57,0.6529,0.7595,1.13,11.1751,8.1632,1.0743,1.0476,0.9726,4.5783,4.6055,1821023.4607,1076265.7695,925247.9335,95731203.329,56579291.5026,0.0
601318.SH,20241122,53.03,0.9355,1.0881,1.75,11.2729,8.2346,1.0837,1.0568,0.9812,4.5386,4.5656,1821023.4607,1076265.7695,925247.9335,96568874.1209,57074373.7566,0.0
601318.SH,20241121,55.49,0.3812,0.4434,0.66,11.7958,8.6166,1.134,1.1058,1.0267,4.3374,4.3632,1821023.4607,1076265.7695,925247.9335,101048591.8342,59721987.5496,0.0
601318.SH,20241120,55.46,0.4367,0.5079,0.72,11.7894,8.6119,1.1334,1.1052,1.0261,4.3398,4.3656,1821023.4607,1076265.7695,925247.9335,100993961.1304,59689699.5765,0.0
601318.SH,20241119,55.61,0.4908,0.5709,0.71,11.8213,8.6352,1.1364,1.1082,1.0289,4.3281,4.3538,1821023.4607,1076265.7695,925247.9335,101267114.6495,59851139.4419,0.0
601318.SH,20241118,55.76,0.6358,0.7396,0.87,11.8532,8.6585,1.1395,1.1112,1.0317,4.3164,4.3421,1821023.4607,1076265.7695,925247.9335,101540268.1686,60012579.3073,0.0
601318.SH,20241115,55.8,0.7253,0.8437,0.87,11.8617,8.6647,1.1403,1.112,1.0324,4.3133,4.339,1821023.4607,1076265.7695,925247.9335,101613109.1071,60055629.9381,0.0
601318.SH,20241114,57.0,0.6162,0.7168,0.58,12.1168,8.8511,1.1648,1.1359,1.0546,4.2225,4.2476,1821023.4607,1076265.7695,925247.9335,103798337.2599,61347148.8615,0.0
601318.SH,20241113,57.19,0.5744,0.6682,0.49,12.1572,8.8806,1.1687,1.1397,1.0581,4.2085,4.2335,1821023.4607,1076265.7695,925247.9335,104144331.7174,61551639.3577,0.0
601318.SH,20241112,57.01,0.8947,1.0407,0.73,12.1189,8.8526,1.165,1.1361,1.0548,4.2218,4.2469,1821023.4607,1076265.7695,925247.9335,103816547.4945,61357911.5192,0.0
601318.SH,20241111,58.4,0.8522,0.9913,0.74,12.4144,9.0685,1.1934,1.1638,1.0805,4.1213,4.1458,1821023.4607,1076265.7695,925247.9335,106347770.1049,62853920.9388,0.0
601318.SH,20241108,59.12,1.2292,1.4299,1.2,12.5674,9.1803,1.2082,1.1782,1.0938,4.0711,4.0953,1821023.4607,1076265.7695,925247.9335,107658906.9966,63628832.2928,0.0
601318.SH,20241107,60.84,1.7322,2.0149,2.12,12.9331,9.4474,1.2433,1.2124,1.1257,3.956,3.9795,1821023.4607,1076265.7695,925247.9335,110791067.349,65480009.4164,0.0
601318.SH,20241106,57.49,1.1731,1.3645,1.56,12.2209,8.9272,1.1748,1.1457,1.0637,4.1865,4.2114,1821023.4607,1076265.7695,925247.9335,104690638.7556,61874519.0886,0.0
601318.SH,20241105,58.75,1.116,1.2982,1.73,12.4888,9.1228,1.2006,1.1708,1.087,4.0967,4.1211,1821023.4607,1076265.7695,925247.9335,106985128.3161,63230613.9581,0.0
