ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
300426.SZ,20260205,9.2,5.2156,7.0104,,,,28.1409,21.6538,16.9986,,,45038.281,40000.0,29759.4624,414352.1852,368000.0,0
300426.SZ,20260204,8.86,2.7685,3.7212,1.01,,,27.1009,20.8536,16.3704,,,45038.281,40000.0,29759.4624,399039.1697,354400.0,0
300426.SZ,20260203,8.91,2.9739,3.9973,1.02,,,27.2539,20.9713,16.4628,,,45038.281,40000.0,29759.4624,401291.0837,356400.0,0
300426.SZ,20260202,8.64,3.4386,4.6218,1.22,,,26.428,20.3358,15.9639,,,45038.281,40000.0,29759.4624,389130.7478,345600.0,0
300426.SZ,20260130,8.62,2.6317,3.5373,0.9,,,26.3668,20.2887,15.927,,,45038.281,40000.0,29759.4624,388229.9822,344800.0,0
300426.SZ,20260129,8.53,2.7278,3.6664,,,,26.0915,20.0769,15.7607,,,45038.281,40000.0,29759.4624,384176.5369,341200.0,0
300426.SZ,20260128,8.5,1.9933,2.6791,0.69,,,25.9998,20.0063,15.7053,,,45038.281,40000.0,29759.4624,382825.3885,340000.0,0
300426.SZ,20260127,8.77,3.8423,5.1644,,,,26.8256,20.6417,16.2041,,,45038.281,40000.0,29759.4624,394985.7244,350800.0,0
300426.SZ,20260126,8.59,2.9205,3.9254,,,,26.275,20.2181,15.8716,,,45038.281,40000.0,29759.4624,386878.8338,343600.0,0
300426.SZ,20260123,8.64,3.0682,4.124,1.09,,,26.428,20.3358,15.9639,,,45038.281,40000.0,29759.4624,389130.7478,345600.0,0
300426.SZ,20260122,8.38,2.6391,3.5472,0.82,,,25.6327,19.7238,15.4835,,,45038.281,40000.0,29759.4624,377420.7948,335200.0,0
300426.SZ,20260121,8.14,2.0154,2.709,,,,24.8986,19.1589,15.0401,,,45038.281,40000.0,29759.4624,366611.6073,325600.0,0
300426.SZ,20260120,8.26,2.6092,3.507,,,,25.2656,19.4414,15.2618,0.0,,45038.281,40000.0,29759.4624,372016.2011,330400.0,0
300426.SZ,20260119,8.17,2.9651,3.9854,0.46,,,24.9904,19.2295,15.0955,0.0,,45038.281,40000.0,29759.4624,367962.7558,326800.0,0
300426.SZ,20260116,8.18,3.8631,5.1924,0.61,,,25.0209,19.2531,15.114,0.0,,45038.281,40000.0,29759.4624,368413.1386,327200.0,0
300426.SZ,20260115,8.63,4.6726,6.2805,,,,26.3974,20.3122,15.9455,0.0,,45038.281,40000.0,29759.4624,388680.365,345200.0,0
300426.SZ,20260114,9.13,8.0141,10.7718,1.58,,,27.9268,21.4891,16.8693,0.0,,45038.281,40000.0,29759.4624,411199.5055,365200.0,0
300426.SZ,20260113,9.24,9.1397,12.2848,,,,28.2633,21.748,17.0725,0.0,,45038.281,40000.0,29759.4624,416153.7164,369600.0,0
300426.SZ,20260112,9.43,6.663,8.9559,2.54,,,28.8444,22.1952,17.4236,0.0,,45038.281,40000.0,29759.4624,424710.9898,377200.0,0
300426.SZ,20260109,8.5,3.3382,4.4869,1.46,,,25.9998,20.0063,15.7053,0.0,,45038.281,40000.0,29759.4624,382825.3885,340000.0,0
300426.SZ,20260108,8.39,4.7483,6.3823,,,,25.6633,19.7474,15.502,0.0,,45038.281,40000.0,29759.4624,377871.1776,335600.0,0
300426.SZ,20260107,7.89,1.4774,1.9858,0.88,,,24.1339,18.5705,14.5782,0.0,,45038.281,40000.0,29759.4624,355352.0371,315600.0,0
300426.SZ,20260106,7.95,1.7623,2.3687,1.09,,,24.3174,18.7117,14.689,0.0,,45038.281,40000.0,29759.4624,358054.334,318000.0,0
300426.SZ,20260105,7.91,1.7866,2.4013,1.2,,,24.1951,18.6176,14.6151,0.0,,45038.281,40000.0,29759.4624,356252.8027,316400.0,0
