ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600381.SH,20251231,4.38,4.53,4.37,4.43,4.39,0.04,0.9112,66607.3,29719.907
600381.SH,20251230,4.19,4.39,4.19,4.39,4.21,0.18,4.2755,59919.77,25751.953
600381.SH,20251229,4.29,4.31,4.21,4.21,4.31,-0.1,-2.3202,32488.0,13772.226
600381.SH,20251226,4.26,4.38,4.17,4.31,4.24,0.07,1.6509,64750.05,27676.864
600381.SH,20251225,4.23,4.25,4.17,4.24,4.22,0.02,0.4739,35891.39,15134.168
600381.SH,20251224,4.31,4.35,4.18,4.22,4.35,-0.13,-2.9885,70090.41,29684.409
600381.SH,20251223,4.41,4.42,4.34,4.35,4.4,-0.05,-1.1364,23372.0,10237.688
600381.SH,20251222,4.43,4.45,4.39,4.4,4.43,-0.03,-0.6772,28412.79,12543.729
600381.SH,20251219,4.33,4.48,4.31,4.43,4.33,0.1,2.3095,47043.19,20684.735
600381.SH,20251218,4.33,4.35,4.3,4.33,4.34,-0.01,-0.2304,21131.87,9149.572
600381.SH,20251217,4.33,4.35,4.26,4.34,4.3,0.04,0.9302,25206.11,10852.444
600381.SH,20251216,4.47,4.47,4.28,4.3,4.45,-0.15,-3.3708,41996.0,18201.472
600381.SH,20251215,4.5,4.58,4.45,4.45,4.45,0.0,0.0,41973.0,18911.133
600381.SH,20251212,4.42,4.49,4.37,4.45,4.44,0.01,0.2252,39609.0,17570.467
600381.SH,20251211,4.54,4.56,4.41,4.44,4.53,-0.09,-1.9868,50117.0,22281.08
600381.SH,20251210,4.57,4.58,4.45,4.53,4.59,-0.06,-1.3072,36570.0,16527.477
600381.SH,20251209,4.63,4.67,4.57,4.59,4.65,-0.06,-1.2903,38345.14,17716.591
600381.SH,20251208,4.7,4.72,4.63,4.65,4.68,-0.03,-0.641,49185.56,22962.411
600381.SH,20251205,4.7,4.74,4.61,4.68,4.68,0.0,0.0,57681.85,26972.717
600381.SH,20251204,4.84,4.87,4.64,4.68,4.88,-0.2,-4.0984,111477.0,52623.4
600381.SH,20251203,4.88,4.88,4.82,4.88,4.65,0.23,4.9462,69716.0,33993.051
600381.SH,20251202,4.65,4.65,4.65,4.65,4.43,0.22,4.9661,26938.0,12526.17
600381.SH,20251201,4.5,4.5,4.41,4.43,4.53,-0.1,-2.2075,44881.89,19958.343
600381.SH,20251128,4.48,4.54,4.44,4.53,4.44,0.09,2.027,30886.42,13854.78
600381.SH,20251127,4.51,4.53,4.42,4.44,4.5,-0.06,-1.3333,36880.46,16429.217
600381.SH,20251126,4.62,4.62,4.5,4.5,4.59,-0.09,-1.9608,36490.0,16631.886
600381.SH,20251125,4.55,4.63,4.54,4.59,4.52,0.07,1.5487,36847.81,16931.334
600381.SH,20251124,4.52,4.55,4.4,4.52,4.53,-0.01,-0.2208,48064.35,21478.212
600381.SH,20251121,4.54,4.73,4.51,4.53,4.52,0.01,0.2212,74362.49,34265.267
600381.SH,20251120,4.65,4.67,4.5,4.52,4.64,-0.12,-2.5862,54492.3,24833.343
600381.SH,20251119,4.63,4.69,4.61,4.64,4.63,0.01,0.216,29400.08,13668.133
600381.SH,20251118,4.67,4.67,4.6,4.63,4.68,-0.05,-1.0684,36316.0,16808.976
600381.SH,20251117,4.73,4.73,4.62,4.68,4.72,-0.04,-0.8475,45755.99,21319.626
600381.SH,20251114,4.8,4.82,4.72,4.72,4.81,-0.09,-1.8711,62784.0,29938.422
600381.SH,20251113,4.75,4.83,4.74,4.81,4.76,0.05,1.0504,38283.0,18331.076
600381.SH,20251112,4.81,4.86,4.73,4.76,4.84,-0.08,-1.6529,54171.0,25906.983
600381.SH,20251111,4.76,4.92,4.76,4.84,4.76,0.08,1.6807,74399.71,36160.701
600381.SH,20251110,4.78,4.8,4.74,4.76,4.78,-0.02,-0.4184,38784.97,18469.757
600381.SH,20251107,4.81,4.83,4.74,4.78,4.82,-0.04,-0.8299,44427.54,21239.156
600381.SH,20251106,4.86,4.86,4.74,4.82,4.84,-0.02,-0.4132,67181.87,32088.586
600381.SH,20251105,4.88,4.88,4.79,4.84,4.86,-0.02,-0.4115,43483.13,21006.936
600381.SH,20251104,4.87,5.0,4.82,4.86,4.88,-0.02,-0.4098,74825.0,36614.293
600381.SH,20251103,4.88,4.89,4.79,4.88,4.88,0.0,0.0,72483.0,35080.627
600381.SH,20251031,4.73,4.92,4.71,4.88,4.69,0.19,4.0512,137250.82,66691.02
600381.SH,20251030,4.66,4.79,4.66,4.69,4.62,0.07,1.5152,121935.73,57657.821
600381.SH,20251029,4.68,4.68,4.58,4.62,4.81,-0.19,-3.9501,160863.39,74492.982
600381.SH,20251028,4.79,5.04,4.79,4.81,5.04,-0.23,-4.5635,299833.14,145120.141
600381.SH,20251027,5.04,5.04,5.04,5.04,5.3,-0.26,-4.9057,41131.0,20730.024
600381.SH,20251024,5.64,5.84,5.3,5.3,5.58,-0.28,-5.0179,200896.13,112655.903
600381.SH,20251023,5.56,5.65,5.4,5.58,5.45,0.13,2.3853,146264.1,80837.024
600381.SH,20251022,5.26,5.45,5.25,5.45,5.19,0.26,5.0096,97141.94,52642.121
600381.SH,20251021,5.19,5.3,5.06,5.19,5.21,-0.02,-0.3839,213347.52,110078.907
600381.SH,20251020,5.02,5.21,5.0,5.21,4.96,0.25,5.0403,147501.14,76248.02
600381.SH,20251017,4.98,5.12,4.92,4.96,4.88,0.08,1.6393,148564.73,74696.722
600381.SH,20251016,4.67,4.88,4.65,4.88,4.65,0.23,4.9462,89577.08,43380.429
600381.SH,20251015,4.66,4.68,4.6,4.65,4.65,0.0,0.0,29088.76,13456.565
600381.SH,20251014,4.62,4.75,4.6,4.65,4.6,0.05,1.087,50065.01,23354.969
600381.SH,20251013,4.74,4.74,4.58,4.6,4.82,-0.22,-4.5643,100059.0,46422.305
600381.SH,20251010,4.75,4.88,4.72,4.82,4.75,0.07,1.4737,68164.74,32583.338
600381.SH,20251009,4.97,5.02,4.7,4.75,4.91,-0.16,-3.2587,72742.56,35407.714
600381.SH,20250930,4.93,5.01,4.9,4.91,4.91,0.0,0.0,45971.0,22781.515
600381.SH,20250929,4.93,4.97,4.87,4.91,4.91,0.0,0.0,49847.0,24532.473
600381.SH,20250926,5.08,5.08,4.86,4.91,5.05,-0.14,-2.7723,82733.0,40958.769
600381.SH,20250925,5.17,5.17,5.04,5.05,5.19,-0.14,-2.6975,66963.0,34123.355
600381.SH,20250924,5.04,5.22,5.04,5.19,5.07,0.12,2.3669,83232.15,42891.714
600381.SH,20250923,5.0,5.09,4.92,5.07,5.02,0.05,0.996,74043.99,37072.958
600381.SH,20250922,4.95,5.04,4.82,5.02,5.01,0.01,0.1996,70091.2,34795.589
600381.SH,20250919,5.09,5.09,4.97,5.01,5.08,-0.07,-1.378,53376.62,26707.082
600381.SH,20250918,5.05,5.27,5.03,5.08,5.05,0.03,0.5941,105837.0,54402.991
600381.SH,20250917,5.2,5.24,5.05,5.05,5.2,-0.15,-2.8846,96864.0,49583.802
600381.SH,20250916,5.09,5.22,4.92,5.2,5.04,0.16,3.1746,130321.46,65908.759
600381.SH,20250915,4.98,5.11,4.89,5.04,4.9,0.14,2.8571,91028.0,45826.667
600381.SH,20250912,4.9,4.96,4.85,4.9,4.9,0.0,0.0,77123.0,37780.549
600381.SH,20250911,4.79,4.94,4.71,4.9,4.78,0.12,2.5105,107008.0,51788.938
600381.SH,20250910,4.72,4.79,4.69,4.78,4.84,-0.06,-1.2397,90838.77,43034.953
600381.SH,20250909,4.89,4.96,4.82,4.84,4.9,-0.06,-1.2245,69936.0,33997.172
600381.SH,20250908,4.95,5.07,4.78,4.9,4.92,-0.02,-0.4065,131645.14,64604.391
600381.SH,20250905,4.89,4.95,4.7,4.92,4.95,-0.03,-0.6061,129303.15,62712.247
600381.SH,20250904,5.02,5.1,4.95,4.95,5.21,-0.26,-4.9904,130599.99,64897.078
600381.SH,20250903,5.55,5.55,5.21,5.21,5.48,-0.27,-4.927,224358.13,118932.161
600381.SH,20250902,5.4,5.48,5.33,5.48,5.22,0.26,4.9808,242281.46,131963.732
600381.SH,20250901,5.08,5.22,5.0,5.22,4.97,0.25,5.0302,85432.17,44189.455
600381.SH,20250829,4.75,4.97,4.75,4.97,4.73,0.24,5.074,206912.07,101853.439
600381.SH,20250828,4.61,4.87,4.61,4.73,4.64,0.09,1.9397,90598.38,42954.191
600381.SH,20250827,4.6,4.83,4.57,4.64,4.61,0.03,0.6508,149694.35,70905.798
600381.SH,20250826,4.59,4.61,4.55,4.61,4.58,0.03,0.655,82565.02,37861.979
600381.SH,20250825,4.59,4.63,4.53,4.58,4.55,0.03,0.6593,75446.16,34554.612
