ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
000030.SZ,20251231,5.74,0.4687,1.6908,0.71,14.599,14.688,1.2114,0.5994,0.5772,4.3554,2.6474,171981.0845,167090.6445,46318.9412,987171.425,959100.2994,0
000030.SZ,20251230,5.75,0.6268,2.261,0.95,14.6245,14.7136,1.2135,0.6005,0.5782,4.3478,2.6428,171981.0845,167090.6445,46318.9412,988891.2359,960771.2059,0
000030.SZ,20251229,5.7,0.7566,2.7293,1.13,14.4973,14.5857,1.203,0.5953,0.5732,4.386,2.6659,171981.0845,167090.6445,46318.9412,980292.1817,952416.6737,0
000030.SZ,20251226,5.76,0.54,1.9481,0.78,14.6499,14.7392,1.2156,0.6015,0.5792,4.3403,2.6382,171981.0845,167090.6445,46318.9412,990611.0467,962442.1123,0
000030.SZ,20251225,5.8,0.7099,2.561,1.09,14.7517,14.8416,1.2241,0.6057,0.5833,4.3103,2.62,171981.0845,167090.6445,46318.9412,997490.2901,969125.7381,0
000030.SZ,20251224,5.72,0.6531,2.3559,1.04,14.5482,14.6368,1.2072,0.5973,0.5752,4.3706,2.6566,171981.0845,167090.6445,46318.9412,983731.8033,955758.4865,0
000030.SZ,20251223,5.69,0.6516,2.3504,1.05,14.4719,14.5601,1.2009,0.5942,0.5722,4.3937,2.6706,171981.0845,167090.6445,46318.9412,978572.3708,950745.7672,0
000030.SZ,20251222,5.8,0.8008,2.8889,,14.7517,14.8416,1.2241,0.6057,0.5833,4.3103,2.62,171981.0845,167090.6445,46318.9412,997490.2901,969125.7381,0
000030.SZ,20251219,5.71,0.6678,2.4092,1.15,14.5227,14.6113,1.2051,0.5963,0.5742,4.3783,2.6613,171981.0845,167090.6445,46318.9412,982011.9925,954087.5801,0
000030.SZ,20251218,5.61,0.4857,1.7522,0.8,14.2684,14.3554,1.184,0.5859,0.5642,4.4563,2.7087,171981.0845,167090.6445,46318.9412,964813.884,937378.5156,0
000030.SZ,20251217,5.54,0.5427,1.9578,0.82,14.0904,14.1762,1.1692,0.5785,0.5571,4.5126,2.7429,171981.0845,167090.6445,46318.9412,952775.2081,925682.1705,0
000030.SZ,20251216,5.55,0.599,2.1607,0.91,14.1158,14.2018,1.1713,0.5796,0.5581,4.5045,2.738,171981.0845,167090.6445,46318.9412,954495.019,927353.077,0
000030.SZ,20251215,5.55,0.6183,2.2306,0.92,14.1158,14.2018,1.1713,0.5796,0.5581,4.5045,2.738,171981.0845,167090.6445,46318.9412,954495.019,927353.077,0
000030.SZ,20251212,5.55,0.6614,2.3858,0.95,14.1158,14.2018,1.1713,0.5796,0.5581,4.5045,2.738,171981.0845,167090.6445,46318.9412,954495.019,927353.077,0
000030.SZ,20251211,5.67,0.6104,2.2021,0.83,14.421,14.5089,1.1966,0.5921,0.5702,4.4092,2.68,171981.0845,167090.6445,46318.9412,975132.7491,947403.9543,0
000030.SZ,20251210,5.74,0.8179,2.9504,1.13,14.599,14.688,1.2114,0.5994,0.5772,4.3554,2.6474,171981.0845,167090.6445,46318.9412,987171.425,959100.2994,0
000030.SZ,20251209,5.66,0.5883,2.1223,0.81,14.3956,14.4833,1.1945,0.5911,0.5692,4.417,2.6848,171981.0845,167090.6445,46318.9412,973412.9383,945733.0479,0
000030.SZ,20251208,5.66,0.6925,2.4981,,14.3956,14.4833,1.1945,0.5911,0.5692,4.417,2.6848,171981.0845,167090.6445,46318.9412,973412.9383,945733.0479,0
000030.SZ,20251205,5.69,0.7584,2.736,,14.4719,14.5601,1.2009,0.5942,0.5722,4.3937,2.6706,171981.0845,167090.6445,46318.9412,978572.3708,950745.7672,0
000030.SZ,20251204,5.7,0.8409,3.0335,,14.4973,14.5857,1.203,0.5953,0.5732,4.386,2.6659,171981.0845,167090.6445,46318.9412,980292.1817,952416.6737,0
000030.SZ,20251203,5.66,0.7472,2.6956,,14.3956,14.4833,1.1945,0.5911,0.5692,4.417,2.6848,171981.0845,167090.6445,46318.9412,973412.9383,945733.0479,0
000030.SZ,20251202,5.61,0.6138,2.2143,1.02,14.2684,14.3554,1.184,0.5859,0.5642,4.4563,2.7087,171981.0845,167090.6445,46318.9412,964813.884,937378.5156,0
000030.SZ,20251201,5.56,0.5915,2.1338,0.92,14.1412,14.2274,1.1734,0.5806,0.5591,4.4964,2.7331,171981.0845,167090.6445,46318.9412,956214.8298,929023.9834,0
000030.SZ,20251128,5.48,0.7972,2.8757,1.27,13.9378,14.0227,1.1565,0.5723,0.5511,4.562,2.773,171981.0845,167090.6445,46318.9412,942456.3431,915656.7319,0
000030.SZ,20251127,5.47,0.3654,1.3181,0.58,13.9123,13.9971,1.1544,0.5712,0.5501,4.5704,2.778,171981.0845,167090.6445,46318.9412,940736.5322,913985.8254,0
000030.SZ,20251126,5.5,0.6931,2.5003,1.18,13.9886,14.0739,1.1608,0.5744,0.5531,4.5455,2.7629,171981.0845,167090.6445,46318.9412,945895.9648,918998.5448,0
000030.SZ,20251125,5.41,0.5565,2.0076,0.93,13.7597,13.8436,1.1418,0.565,0.544,4.6211,2.8088,171981.0845,167090.6445,46318.9412,930417.6671,903960.3867,0
000030.SZ,20251124,5.32,0.8039,2.9001,1.44,13.5308,13.6133,1.1228,0.5556,0.535,4.6992,2.8564,171981.0845,167090.6445,46318.9412,914939.3695,888922.2287,0
000030.SZ,20251121,5.26,0.7078,2.5532,1.32,13.3782,13.4598,1.1101,0.5493,0.529,4.7529,2.8889,171981.0845,167090.6445,46318.9412,904620.5045,878896.7901,0
000030.SZ,20251120,5.45,0.3918,1.4135,0.7,13.8615,13.9459,1.1502,0.5691,0.5481,4.5872,2.7882,171981.0845,167090.6445,46318.9412,937296.9105,910644.0125,0
000030.SZ,20251119,5.48,0.481,1.735,0.87,13.9378,14.0227,1.1565,0.5723,0.5511,4.562,2.773,171981.0845,167090.6445,46318.9412,942456.3431,915656.7319,0
000030.SZ,20251118,5.54,0.6209,2.2397,1.17,14.0904,14.1762,1.1692,0.5785,0.5571,4.5126,2.7429,171981.0845,167090.6445,46318.9412,952775.2081,925682.1705,0
000030.SZ,20251117,5.64,0.589,2.1248,1.15,14.3447,14.4321,1.1903,0.589,0.5672,4.4326,2.6943,171981.0845,167090.6445,46318.9412,969973.3166,942391.235,0
000030.SZ,20251114,5.73,0.5966,2.1523,1.18,14.5736,14.6624,1.2093,0.5984,0.5762,4.363,2.652,171981.0845,167090.6445,46318.9412,985451.6142,957429.393,0
000030.SZ,20251113,5.75,0.5258,1.8968,0.97,14.6245,14.7136,1.2135,0.6005,0.5782,4.3478,2.6428,171981.0845,167090.6445,46318.9412,988891.2359,960771.2059,0
000030.SZ,20251112,5.71,0.4255,1.5349,0.74,14.5227,14.6113,1.2051,0.5963,0.5742,4.3783,2.6613,171981.0845,167090.6445,46318.9412,982011.9925,954087.5801,0
000030.SZ,20251111,5.76,0.5075,1.8308,0.86,14.6499,14.7392,1.2156,0.6015,0.5792,4.3403,2.6382,171981.0845,167090.6445,46318.9412,990611.0467,962442.1123,0
000030.SZ,20251110,5.74,0.4954,1.7872,0.77,14.599,14.688,1.2114,0.5994,0.5772,4.3554,2.6474,171981.0845,167090.6445,46318.9412,987171.425,959100.2994,0
000030.SZ,20251107,5.7,0.5686,2.051,0.83,14.4973,14.5857,1.203,0.5953,0.5732,4.386,2.6659,171981.0845,167090.6445,46318.9412,980292.1817,952416.6737,0
000030.SZ,20251106,5.74,0.7001,2.5255,1.02,14.599,14.688,1.2114,0.5994,0.5772,4.3554,2.6474,171981.0845,167090.6445,46318.9412,987171.425,959100.2994,0
000030.SZ,20251105,5.65,0.5866,2.1161,0.89,14.3701,14.4577,1.1924,0.59,0.5682,4.4248,2.6895,171981.0845,167090.6445,46318.9412,971693.1274,944062.1414,0
000030.SZ,20251104,5.61,0.595,2.1464,0.93,14.2684,14.3554,1.184,0.5859,0.5642,4.4563,2.7087,171981.0845,167090.6445,46318.9412,964813.884,937378.5156,0
000030.SZ,20251103,5.66,0.7673,2.7678,1.27,14.3956,14.4833,1.1945,0.5911,0.5692,4.417,2.6848,171981.0845,167090.6445,46318.9412,973412.9383,945733.0479,0
000030.SZ,20251031,5.62,0.787,2.8392,1.47,14.2938,14.381,1.1861,0.5869,0.5652,4.4484,2.7039,171981.0845,167090.6445,46318.9412,966533.6949,939049.4221,0
000030.SZ,20251030,5.57,0.6971,2.5146,1.31,14.1667,14.253,1.1755,0.5817,0.5601,4.4883,2.7282,171981.0845,167090.6445,46318.9412,957934.6407,930694.8899,0
000030.SZ,20251029,5.59,0.4675,1.6866,0.88,14.2175,14.3042,1.1798,0.5838,0.5622,4.4723,2.7184,171981.0845,167090.6445,46318.9412,961374.2624,934036.7028,0
000030.SZ,20251028,5.6,0.4864,1.7547,0.88,14.243,14.5197,1.2022,0.5848,0.5759,4.4643,2.7135,171981.0845,167090.6445,46318.9412,963094.0732,935707.6092,0
000030.SZ,20251027,5.58,0.5804,2.0939,1.06,14.1921,14.4679,1.1979,0.5827,0.5738,4.4803,2.7233,171981.0845,167090.6445,46318.9412,959654.4515,932365.7963,0
