ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301359.SZ,20221230,22.0,22.1,21.9,22.02,21.94,0.08,0.3646,7482.67,16456.543
301359.SZ,20221229,22.35,22.35,21.89,21.94,22.22,-0.28,-1.2601,7071.54,15629.628
301359.SZ,20221228,22.7,22.78,22.18,22.22,22.82,-0.6,-2.6293,8083.2,18134.483
301359.SZ,20221227,22.95,23.09,22.65,22.82,23.11,-0.29,-1.2549,9876.9,22517.834
301359.SZ,20221226,22.51,23.69,22.5,23.11,22.55,0.56,2.4834,14857.79,34276.083
301359.SZ,20221223,22.6,22.7,22.28,22.55,22.6,-0.05,-0.2212,7686.67,17289.207
301359.SZ,20221222,23.3,23.35,22.54,22.6,23.3,-0.7,-3.0043,12203.0,27897.513
301359.SZ,20221221,23.96,24.03,23.11,23.3,23.99,-0.69,-2.8762,11215.36,26332.699
301359.SZ,20221220,23.9,24.04,23.69,23.99,23.92,0.07,0.2926,8643.92,20658.586
301359.SZ,20221219,24.8,24.9,23.81,23.92,24.92,-1.0,-4.0128,13605.5,33002.434
301359.SZ,20221216,25.47,25.47,24.7,24.92,25.48,-0.56,-2.1978,17753.98,44317.138
301359.SZ,20221215,25.29,25.48,25.18,25.48,25.3,0.18,0.7115,10915.25,27675.763
301359.SZ,20221214,25.26,25.37,25.15,25.3,25.23,0.07,0.2774,8696.23,21966.195
301359.SZ,20221213,25.34,25.54,25.2,25.23,25.33,-0.1,-0.3948,9015.54,22839.491
301359.SZ,20221212,25.6,25.65,25.21,25.33,25.77,-0.44,-1.7074,15197.86,38514.483
301359.SZ,20221209,26.13,26.3,25.77,25.77,25.94,-0.17,-0.6554,15328.48,39818.816
301359.SZ,20221208,25.68,26.0,25.58,25.94,25.81,0.13,0.5037,16855.69,43534.609
301359.SZ,20221207,25.94,25.94,25.63,25.81,25.84,-0.03,-0.1161,13894.02,35746.73
301359.SZ,20221206,26.26,26.3,25.76,25.84,26.33,-0.49,-1.861,18494.16,48069.772
301359.SZ,20221205,26.0,26.48,26.0,26.33,26.12,0.21,0.804,21561.29,56572.911
301359.SZ,20221202,25.75,26.26,25.61,26.12,25.68,0.44,1.7134,25697.48,66800.93
301359.SZ,20221201,25.6,25.77,25.57,25.68,25.45,0.23,0.9037,17899.83,45964.678
301359.SZ,20221130,25.85,25.89,25.4,25.45,25.89,-0.44,-1.6995,19970.88,51071.323
301359.SZ,20221129,25.55,25.94,25.55,25.89,25.57,0.32,1.2515,17826.42,45958.249
301359.SZ,20221128,26.01,26.26,25.51,25.57,26.44,-0.87,-3.2905,22706.24,58275.442
301359.SZ,20221125,26.58,26.9,26.42,26.44,26.66,-0.22,-0.8252,20201.58,53696.938
301359.SZ,20221124,26.8,26.91,26.56,26.66,27.24,-0.58,-2.1292,30555.9,81602.518
301359.SZ,20221123,26.38,27.38,26.29,27.24,26.3,0.94,3.5741,46766.04,125139.293
301359.SZ,20221122,26.38,26.75,26.13,26.3,26.51,-0.21,-0.7922,25883.51,68307.006
301359.SZ,20221121,26.78,26.8,26.22,26.51,27.06,-0.55,-2.0325,28810.78,76257.804
301359.SZ,20221118,27.19,27.5,26.88,27.06,26.97,0.09,0.3337,46919.82,127472.792
301359.SZ,20221117,26.7,26.98,26.41,26.97,26.86,0.11,0.4095,32059.72,85447.215
301359.SZ,20221116,27.11,27.5,26.68,26.86,27.39,-0.53,-1.935,47471.73,128194.265
301359.SZ,20221115,26.99,27.63,26.89,27.39,27.2,0.19,0.6985,45779.4,125207.859
301359.SZ,20221114,28.0,28.05,27.11,27.2,28.61,-1.41,-4.9283,56478.74,155301.601
301359.SZ,20221111,27.7,28.7,27.02,28.61,27.56,1.05,3.8099,88890.6,247884.991
301359.SZ,20221110,28.92,29.5,27.41,27.56,30.23,-2.67,-8.8323,98450.55,277974.706
301359.SZ,20221109,33.0,34.98,30.12,30.23,20.84,9.39,45.0576,133303.96,423185.34
