ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688418.SH,20251231,42.18,44.37,41.89,43.48,42.26,1.22,2.8869,166967.55,719830.949
688418.SH,20251230,42.0,44.44,41.86,42.26,42.89,-0.63,-1.4689,175368.87,754378.499
688418.SH,20251229,41.57,43.4,41.57,42.89,43.65,-0.76,-1.7411,130498.08,554468.594
688418.SH,20251226,41.33,44.69,40.87,43.65,41.59,2.06,4.9531,215796.95,921320.198
688418.SH,20251225,39.61,43.33,39.3,41.59,39.27,2.32,5.9078,215719.01,892439.607
688418.SH,20251224,37.71,39.83,37.03,39.27,38.35,0.92,2.399,159328.66,618754.183
688418.SH,20251223,41.46,41.87,37.83,38.35,41.3,-2.95,-7.1429,237681.16,933429.764
688418.SH,20251222,42.6,42.6,40.86,41.3,43.32,-2.02,-4.663,181226.38,755208.933
688418.SH,20251219,44.55,47.01,42.73,43.32,44.5,-1.18,-2.6517,236344.93,1041987.697
688418.SH,20251218,43.0,45.8,42.0,44.5,43.25,1.25,2.8902,287197.74,1262952.166
688418.SH,20251217,42.51,45.23,42.1,43.25,43.08,0.17,0.3946,232747.88,1012671.156
688418.SH,20251216,41.5,44.5,40.61,43.08,41.15,1.93,4.6902,288102.24,1230128.964
688418.SH,20251215,36.53,42.65,36.36,41.15,35.54,5.61,15.785,292177.72,1172520.606
688418.SH,20251212,35.65,37.03,35.19,35.54,35.89,-0.35,-0.9752,123826.51,443266.254
688418.SH,20251211,36.0,36.99,35.58,35.89,35.82,0.07,0.1954,120406.67,437107.368
688418.SH,20251210,34.9,36.03,34.28,35.82,34.6,1.22,3.526,116678.49,411801.349
688418.SH,20251209,34.5,35.55,34.04,34.6,35.06,-0.46,-1.312,112570.32,391328.814
688418.SH,20251208,33.62,35.87,33.19,35.06,32.73,2.33,7.1189,210687.27,734918.096
688418.SH,20251205,30.31,32.76,30.08,32.73,30.49,2.24,7.3467,140423.82,446598.354
688418.SH,20251204,30.3,31.18,29.92,30.49,30.37,0.12,0.3951,54619.56,166402.016
688418.SH,20251203,30.67,31.14,29.9,30.37,30.67,-0.3,-0.9782,66271.57,201737.98
688418.SH,20251202,30.01,30.85,29.8,30.67,30.48,0.19,0.6234,50072.57,151883.175
688418.SH,20251201,30.85,31.77,30.35,30.48,30.79,-0.31,-1.0068,55444.03,171063.931
688418.SH,20251128,30.34,30.89,30.02,30.79,30.34,0.45,1.4832,60550.82,184946.904
688418.SH,20251127,29.16,30.4,29.0,30.34,29.11,1.23,4.2254,75164.11,225058.432
688418.SH,20251126,30.3,30.42,29.06,29.11,29.79,-0.68,-2.2826,44397.75,131174.354
688418.SH,20251125,28.39,30.49,28.09,29.79,28.19,1.6,5.6758,90310.17,267268.662
688418.SH,20251124,27.48,28.3,26.76,28.19,26.89,1.3,4.8345,40745.22,113217.026
688418.SH,20251121,27.94,28.04,26.88,26.89,28.14,-1.25,-4.4421,42719.95,116419.185
688418.SH,20251120,28.14,28.27,27.52,28.14,27.75,0.39,1.4054,27255.59,76154.255
688418.SH,20251119,28.91,28.98,27.71,27.75,28.82,-1.07,-3.7127,48216.12,135350.745
688418.SH,20251118,29.95,29.95,28.7,28.82,29.94,-1.12,-3.7408,47191.66,137396.79
688418.SH,20251117,28.77,30.2,28.61,29.94,28.76,1.18,4.1029,86140.3,255442.833
688418.SH,20251114,29.19,29.8,28.56,28.76,29.11,-0.35,-1.2023,37247.66,108537.114
688418.SH,20251113,28.71,29.67,28.71,29.11,29.13,-0.02,-0.0687,52530.1,152829.83
688418.SH,20251112,29.12,29.31,28.51,29.13,29.12,0.01,0.0343,40184.49,115939.403
688418.SH,20251111,29.6,30.05,29.07,29.12,29.87,-0.75,-2.5109,46808.51,137599.53
688418.SH,20251110,30.52,31.12,29.5,29.87,30.15,-0.28,-0.9287,71468.72,215271.329
688418.SH,20251107,29.81,30.6,29.52,30.15,29.8,0.35,1.1745,74953.04,225118.813
688418.SH,20251106,29.4,30.05,29.17,29.8,29.52,0.28,0.9485,47883.99,141609.313
688418.SH,20251105,29.99,30.29,29.22,29.52,29.59,-0.07,-0.2366,50075.55,149004.241
688418.SH,20251104,30.49,30.49,29.34,29.59,30.52,-0.93,-3.0472,58710.25,173918.026
688418.SH,20251103,30.56,30.76,29.5,30.52,30.85,-0.33,-1.0697,73430.83,221912.498
688418.SH,20251031,30.97,31.36,30.51,30.85,31.09,-0.24,-0.772,55179.19,170326.659
688418.SH,20251030,31.8,32.0,30.72,31.09,31.69,-0.6,-1.8933,63292.38,197733.538
688418.SH,20251029,33.04,33.97,31.69,31.69,32.77,-1.08,-3.2957,101920.25,330526.86
688418.SH,20251028,32.15,33.16,31.8,32.77,32.16,0.61,1.8968,100907.32,327847.593
688418.SH,20251027,32.36,32.68,31.22,32.16,31.97,0.19,0.5943,107088.08,341972.066
688418.SH,20251024,32.44,32.87,31.7,31.97,31.9,0.07,0.2194,141014.22,456096.451
688418.SH,20251023,30.43,32.28,30.43,31.9,30.5,1.4,4.5902,146249.43,464469.999
688418.SH,20251022,29.0,31.14,28.58,30.5,29.23,1.27,4.3449,117093.04,354404.419
688418.SH,20251021,28.69,29.39,28.47,29.23,29.26,-0.03,-0.1025,52919.52,153191.591
688418.SH,20251020,28.88,30.2,28.88,29.26,28.69,0.57,1.9868,47792.78,140896.306
688418.SH,20251017,29.64,29.96,28.6,28.69,29.64,-0.95,-3.2051,50921.53,147915.815
688418.SH,20251016,29.85,29.88,28.96,29.64,29.94,-0.3,-1.002,45645.1,134392.364
688418.SH,20251015,30.31,30.65,29.41,29.94,29.93,0.01,0.0334,50929.02,152700.699
688418.SH,20251014,31.21,31.78,29.61,29.93,31.21,-1.28,-4.1012,70502.76,215703.065
688418.SH,20251013,29.8,32.3,29.69,31.21,30.75,0.46,1.4959,98855.48,308108.424
688418.SH,20251010,29.53,31.5,28.79,30.75,29.76,0.99,3.3266,116789.05,354072.257
688418.SH,20251009,29.8,30.65,29.61,29.76,29.69,0.07,0.2358,43047.53,129833.764
688418.SH,20250930,29.51,30.35,29.35,29.69,29.51,0.18,0.61,43348.33,129114.637
688418.SH,20250929,28.71,29.8,28.69,29.51,28.7,0.81,2.8223,45989.08,134597.158
688418.SH,20250926,29.68,30.1,28.7,28.7,29.97,-1.27,-4.2376,51423.84,150720.767
688418.SH,20250925,30.37,30.77,29.74,29.97,30.48,-0.51,-1.6732,43193.17,130297.334
688418.SH,20250924,29.89,30.54,29.41,30.48,29.95,0.53,1.7696,40494.89,121954.648
688418.SH,20250923,30.35,30.65,29.1,29.95,30.35,-0.4,-1.318,53284.9,157923.402
688418.SH,20250922,30.66,30.66,29.86,30.35,30.42,-0.07,-0.2301,49403.05,149433.524
688418.SH,20250919,31.0,31.34,30.2,30.42,30.84,-0.42,-1.3619,49449.86,151975.505
688418.SH,20250918,32.46,32.55,30.47,30.84,32.46,-1.62,-4.9908,106976.84,338148.22
688418.SH,20250917,31.02,32.8,30.77,32.46,31.24,1.22,3.9052,99089.69,318307.819
688418.SH,20250916,30.76,32.16,30.75,31.24,31.11,0.13,0.4179,63410.04,199248.543
688418.SH,20250915,31.23,31.88,30.9,31.11,31.5,-0.39,-1.2381,50426.7,158372.689
688418.SH,20250912,31.95,32.22,31.47,31.5,32.06,-0.56,-1.7467,54794.94,174188.568
688418.SH,20250911,31.21,32.2,30.47,32.06,31.6,0.46,1.4557,73356.37,232277.061
688418.SH,20250910,31.71,32.5,31.2,31.6,31.2,0.4,1.2821,78182.48,248296.474
688418.SH,20250909,32.2,33.2,31.04,31.2,32.66,-1.46,-4.4703,106057.99,339930.632
688418.SH,20250908,29.64,33.5,29.53,32.66,29.67,2.99,10.0775,138692.85,434270.947
688418.SH,20250905,28.29,29.76,28.04,29.67,28.3,1.37,4.841,60419.69,175205.213
688418.SH,20250904,29.75,30.1,27.65,28.3,29.68,-1.38,-4.6496,88597.39,255743.219
688418.SH,20250903,30.79,31.29,29.55,29.68,30.8,-1.12,-3.6364,65715.03,199056.892
688418.SH,20250902,32.3,32.39,30.45,30.8,32.24,-1.44,-4.4665,94035.74,292113.418
688418.SH,20250901,33.02,33.25,32.0,32.24,33.26,-1.02,-3.0667,103848.9,336140.111
688418.SH,20250829,33.8,34.74,32.8,33.26,33.31,-0.05,-0.1501,144211.37,482578.384
688418.SH,20250828,32.0,33.8,31.75,33.31,30.91,2.4,7.7645,215219.97,706497.704
