ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920121.BJ,20260210,42.5,42.65,42.16,42.35,42.49,-0.14,-0.3295,2854.24,12083.61
920121.BJ,20260209,42.65,42.65,42.31,42.49,42.25,0.24,0.568,2769.03,11751.885
920121.BJ,20260206,42.71,42.71,42.19,42.25,42.32,-0.07,-0.1654,2950.52,12502.909
920121.BJ,20260205,43.0,43.16,42.29,42.32,42.77,-0.45,-1.0521,2697.69,11461.646
920121.BJ,20260204,42.65,42.98,42.42,42.77,42.66,0.11,0.2579,4352.35,18589.247
920121.BJ,20260203,42.8,42.8,42.12,42.66,42.43,0.23,0.5421,4691.18,19889.937
920121.BJ,20260202,43.0,43.47,42.36,42.43,42.9,-0.47,-1.0956,3710.53,15882.547
920121.BJ,20260130,43.18,43.78,42.83,42.9,43.06,-0.16,-0.3716,5643.66,24422.305
920121.BJ,20260129,43.7,43.88,43.01,43.06,43.89,-0.83,-1.8911,10672.85,46211.937
920121.BJ,20260128,44.36,44.36,43.65,43.89,44.35,-0.46,-1.0372,7392.48,32497.944
920121.BJ,20260127,45.08,45.08,43.89,44.35,45.07,-0.72,-1.5975,6492.61,28753.3
920121.BJ,20260126,44.7,45.18,44.38,45.07,44.78,0.29,0.6476,9147.44,40946.308
920121.BJ,20260123,44.31,44.86,44.25,44.78,44.32,0.46,1.0379,8929.15,39817.292
920121.BJ,20260122,44.8,44.8,44.18,44.32,44.54,-0.22,-0.4939,7642.3,33878.208
920121.BJ,20260121,44.51,44.96,44.49,44.54,44.73,-0.19,-0.4248,7608.16,33949.113
920121.BJ,20260120,44.4,45.13,44.26,44.73,44.36,0.37,0.8341,9547.92,42713.524
920121.BJ,20260119,44.77,44.77,44.22,44.36,44.62,-0.26,-0.5827,9813.93,43628.705
920121.BJ,20260116,45.3,45.3,44.6,44.62,45.04,-0.42,-0.9325,10186.6,45729.778
920121.BJ,20260115,44.73,45.46,44.51,45.04,45.01,0.03,0.0667,10248.66,46172.31
920121.BJ,20260114,45.09,45.46,44.75,45.01,45.28,-0.27,-0.5963,17456.75,78529.623
920121.BJ,20260113,45.5,46.8,45.21,45.28,45.44,-0.16,-0.3521,22533.83,103672.509
920121.BJ,20260112,45.27,45.94,44.75,45.44,45.14,0.3,0.6646,19125.55,86457.556
920121.BJ,20260109,45.44,45.45,45.09,45.14,45.25,-0.11,-0.2431,12339.73,55807.859
920121.BJ,20260108,46.0,46.18,45.11,45.25,45.87,-0.62,-1.3516,15233.45,69171.638
920121.BJ,20260107,45.24,46.34,45.01,45.87,45.23,0.64,1.415,18704.42,85739.266
920121.BJ,20260106,45.0,45.5,44.94,45.23,45.22,0.01,0.0221,14302.77,64627.81
920121.BJ,20260105,45.9,45.9,44.35,45.22,46.08,-0.86,-1.8663,22003.98,99130.055
